,GENDER,AGE,INCOME,Churn
0,F,33,15000,0
1,F,38,50000,0
2,M,35,40000,0
3,F,38,20000,0
4,F,23,40000,0
5,F,38,40000,0
6,F,41,20000,0
7,F,24,35000,0
8,M,42,20000,0
9,M,39,10000,0
10,M,41,25000,0
11,F,26,15000,0
12,F,41,35000,0
13,F,44,20000,0
14,M,44,25000,0
15,M,34,10000,0
16,M,24,25000,0
17,M,31,15000,0
18,F,41,35000,0
19,M,24,50000,0
20,F,25,20000,0
21,M,32,20000,0
22,M,46,50000,0
23,M,21,35000,0
24,M,32,50000,0
25,M,31,25000,0
26,F,43,10000,0
27,M,33,35000,0
28,M,42,25000,0
29,F,44,12000,0
30,F,49,10000,0
31,M,41,40000,0
32,M,46,15000,0
33,F,40,15000,0
34,F,26,12000,0
35,M,46,40000,0
36,F,45,50000,0
37,F,45,10000,0
38,F,43,35000,0
39,M,47,50000,0
40,M,30,15000,0
41,M,34,35000,0
42,F,24,35000,0
43,M,33,15000,0
44,F,42,15000,0
45,M,42,40000,0
46,F,40,12000,0
47,F,24,20000,0
48,M,42,30000,0
49,M,30,20000,0
50,F,40,50000,0
51,F,39,10000,0
52,F,30,30000,0
53,M,43,12000,0
54,F,40,30000,0
55,F,22,25000,0
56,F,40,40000,0
57,M,33,30000,0
58,F,29,40000,0
59,F,30,40000,0
60,M,38,35000,0
61,F,24,30000,0
62,F,49,15000,0
63,F,23,10000,0
64,M,41,12000,0
65,M,42,25000,0
66,M,44,35000,0
67,M,26,30000,0
68,M,25,40000,0
69,M,38,40000,0
70,M,35,35000,0
71,F,34,35000,0
72,M,29,12000,0
73,F,49,25000,0
74,M,45,12000,0
75,M,30,30000,0
76,M,44,12000,0
77,M,24,40000,0
78,F,22,25000,0
79,M,36,50000,0
80,F,39,25000,0
81,M,27,15000,0
82,M,39,20000,0
83,M,26,12000,0
84,F,46,40000,0
85,F,50,50000,0
86,M,29,30000,0
87,M,41,35000,0
88,F,37,10000,0
89,F,29,30000,0
90,F,46,15000,0
91,F,24,12000,0
92,M,27,15000,0
93,M,27,25000,0
94,F,27,20000,0
95,F,24,15000,0
96,M,35,20000,0
97,F,35,40000,0
98,M,36,20000,0
99,F,33,25000,0
100,F,42,40000,0
101,M,44,15000,0
