REGISTER_ID,GENDER,AGE,INCOME
AP110000,F,33,15000
AP110001,F,38,50000
AP110002,M,35,40000
AP110003,F,38,20000
AP110004,F,23,40000
AP110005,F,38,40000
AP110006,F,41,20000
AP110007,F,24,35000
AP110008,M,42,20000
AP110009,M,39,10000
AP110010,M,41,25000
AP110011,F,26,15000
AP110012,F,41,35000
AP110013,F,44,20000
AP110014,M,44,25000
AP110015,M,34,10000
AP110016,M,24,25000
AP110017,M,31,15000
AP110018,F,41,35000
AP110019,M,24,50000
AP110020,F,25,20000
AP110021,M,32,20000
AP110022,M,46,50000
AP110023,M,21,35000
AP110024,M,32,50000
AP110025,M,31,25000
AP110026,F,43,10000
AP110027,M,33,35000
AP110028,M,42,25000
AP110029,F,44,12000
AP110030,F,49,10000
AP110031,M,41,40000
AP110032,M,46,15000
AP110033,F,40,15000
AP110034,F,26,12000
AP110035,M,46,40000
AP110036,F,45,50000
AP110037,F,45,10000
AP110038,F,43,35000
AP110039,M,47,50000
AP110040,M,30,15000
AP110041,M,34,35000
AP110042,F,24,35000
AP110043,M,33,15000
AP110044,F,42,15000
AP110045,M,42,40000
AP110046,F,40,12000
AP110047,F,24,20000
AP110048,M,42,30000
AP110049,M,30,20000
AP110050,F,40,50000
AP110051,F,39,10000
AP110052,F,30,30000
AP110053,M,43,12000
AP110054,F,40,30000
AP110055,F,22,25000
AP110056,F,40,40000
AP110057,M,33,30000
AP110058,F,29,40000
AP110059,F,30,40000
AP110060,M,38,35000
AP110061,F,24,30000
AP110062,F,49,15000
AP110063,F,23,10000
AP110064,M,41,12000
AP110065,M,42,25000
AP110066,M,44,35000
AP110067,M,26,30000
AP110068,M,25,40000
AP110069,M,38,40000
AP110070,M,35,35000
AP110071,F,34,35000
AP110072,M,29,12000
AP110073,F,49,25000
AP110074,M,45,12000
AP110075,M,30,30000
AP110076,M,44,12000
AP110077,M,24,40000
AP110078,F,22,25000
AP110079,M,36,50000
AP110080,F,39,25000
AP110081,M,27,15000
AP110082,M,39,20000
AP110083,M,26,12000
AP110084,F,46,40000
AP110085,F,50,50000
AP110086,M,29,30000
AP110087,M,41,35000
AP110088,F,37,10000
AP110089,F,29,30000
AP110090,F,46,15000
AP110091,F,24,12000
AP110092,M,27,15000
AP110093,M,27,25000
AP110094,F,27,20000
AP110095,F,24,15000
AP110096,M,35,20000
AP110097,F,35,40000
AP110098,M,36,20000
AP110099,F,33,25000
AP110100,F,42,40000
AP110101,M,44,15000
AP110102,F,45,12000
AP110103,F,31,40000
AP110104,M,26,20000
AP110105,F,33,12000
AP110106,M,45,12000
AP110107,M,43,10000
AP110108,F,25,30000
AP110109,M,46,50000
AP110110,M,47,25000
AP110111,M,31,10000
AP110112,M,30,12000
AP110113,M,31,20000
AP110114,M,46,12000
AP110115,F,42,20000
AP110116,M,50,25000
AP110117,M,48,15000
AP110118,M,43,20000
AP110119,F,31,40000
AP110120,M,44,15000
AP110121,M,29,12000
AP110122,M,32,30000
AP110123,F,28,15000
AP110124,F,30,50000
AP110125,F,37,30000
AP110126,F,47,10000
AP110127,M,28,20000
AP110128,M,26,35000
AP110129,F,37,20000
AP110130,M,45,12000
AP110131,M,45,10000
AP110132,M,49,50000
AP110133,M,25,10000
AP110134,F,26,20000
AP110135,M,30,40000
AP110136,M,39,12000
AP110137,M,26,40000
AP110138,M,48,50000
AP110139,F,48,50000
AP110140,M,46,15000
AP110141,M,26,15000
AP110142,F,34,10000
AP110143,M,41,35000
AP110144,F,46,50000
AP110145,M,35,40000
AP110146,M,46,25000
AP110147,M,32,20000
AP110148,M,36,12000
AP110149,F,50,12000
AP110150,M,29,30000
AP110151,M,48,50000
AP110152,F,35,20000
AP110153,F,37,35000
AP110154,F,45,20000
AP110155,F,39,40000
AP110156,F,46,12000
AP110157,M,47,40000
AP110158,M,45,40000
AP110159,F,35,30000
AP110160,M,39,15000
AP110161,M,24,15000
AP110162,F,35,10000
AP110163,F,49,20000
AP110164,M,48,30000
AP110165,M,36,12000
AP110166,F,33,15000
AP110167,M,40,30000
AP110168,M,40,12000
AP110169,M,49,35000
AP110170,M,50,35000
AP110171,M,26,25000
AP110172,F,41,40000
AP110173,F,38,20000
AP110174,F,42,30000
AP110175,M,45,40000
AP110176,M,28,25000
AP110177,M,41,40000
AP110178,M,40,15000
AP110179,M,23,15000
AP110180,F,43,40000
AP110181,M,30,15000
AP110182,M,42,12000
AP110183,M,42,10000
AP110184,F,45,10000
AP110185,M,38,25000
AP110186,M,49,20000
AP110187,F,38,15000
AP110188,M,21,30000
AP110189,F,30,10000
AP110190,F,32,50000
AP110191,F,26,12000
AP110192,F,29,20000
AP110193,M,30,40000
AP110194,F,32,40000
AP110195,F,40,35000
AP110196,M,30,30000
AP110197,M,34,10000
AP110198,M,37,35000
AP110199,M,28,12000
AP110200,M,42,15000
AP110201,F,40,15000
AP110202,M,31,12000
AP110203,M,26,35000
AP110204,F,29,40000
AP110205,M,38,12000
AP110206,M,36,20000
AP110207,M,38,10000
AP110208,M,44,20000
AP110209,F,38,25000
AP110210,M,40,30000
AP110211,F,28,50000
AP110212,F,42,10000
AP110213,F,30,10000
AP110214,M,37,35000
AP110215,F,43,10000
AP110216,M,38,12000
AP110217,M,28,50000
AP110218,M,22,20000
AP110219,F,45,40000
AP110220,M,34,35000
AP110221,M,34,20000
AP110222,F,39,35000
AP110223,M,42,30000
AP110224,F,26,25000
AP110225,F,35,15000
AP110226,M,32,50000
AP110227,F,36,40000
AP110228,F,37,40000
AP110229,M,37,40000
AP110230,F,21,25000
AP110231,M,28,20000
AP110232,F,37,50000
AP110233,F,28,40000
AP110234,F,21,50000
AP110235,F,34,12000
AP110236,M,32,30000
AP110237,M,27,15000
AP110238,M,34,10000
AP110239,M,44,50000
AP110240,M,49,30000
AP110241,F,21,12000
AP110242,F,21,10000
AP110243,F,42,12000
AP110244,M,47,25000
AP110245,F,35,35000
AP110246,M,23,40000
AP110247,F,27,12000
AP110248,F,28,15000
AP110249,F,49,20000
AP110250,M,28,25000
AP110251,M,31,35000
AP110252,M,24,30000
AP110253,F,49,10000
AP110254,F,29,35000
AP110255,M,45,20000
AP110256,M,33,35000
AP110257,M,36,40000
AP110258,M,22,30000
AP110259,M,25,30000
AP110260,F,25,15000
AP110261,F,50,20000
AP110262,F,50,35000
AP110263,F,21,15000
AP110264,F,30,10000
AP110265,M,48,25000
AP110266,M,48,50000
AP110267,F,36,30000
AP110268,M,47,30000
AP110269,F,26,12000
AP110270,F,38,20000
AP110271,M,26,20000
AP110272,F,49,35000
AP110273,F,41,20000
AP110274,F,46,40000
AP110275,F,39,35000
AP110276,F,46,15000
AP110277,F,33,12000
AP110278,M,46,40000
AP110279,F,27,40000
AP110280,M,48,25000
AP110281,F,47,40000
AP110282,F,27,15000
AP110283,M,24,10000
AP110284,M,48,20000
AP110285,F,21,30000
AP110286,F,23,30000
AP110287,M,29,10000
AP110288,F,42,35000
AP110289,F,43,15000
AP110290,F,21,15000
